ticker,n_train,n_test,rmse,mae,r2,qlike,dir_acc,mape,theils_u,pearson_r,spearman_r
ACB,498,40,0.00028078,0.00017345,-0.343968,0.968718,0.525,340.593764,0.532065,-0.060805,-0.380451
BCM,498,40,0.00054803,0.00041046,-0.178555,0.512137,0.55,155.339667,0.411356,0.097879,0.210526
BID,498,40,0.00072809,0.00046553,-0.634771,1.738838,0.725,68.429933,0.646772,-0.219791,-0.27218
BVH,498,40,0.00138005,0.0010055,-1.137488,2.052079,0.75,61.492564,0.620092,0.059296,0.046617
CTG,498,40,0.00016968,0.00012631,0.000822,0.288053,0.575,129.286174,0.322122,0.157026,0.184962
FPT,502,42,0.00025468,0.00021031,-0.811098,0.696383,0.6429,133.13267,0.407648,-0.329531,-0.247563
GAS,498,40,0.00133235,0.0011708,-0.010701,0.334873,0.525,137.122797,0.343746,-0.125631,-0.308075
GVR,498,40,0.00189109,0.00129639,-0.567356,2.549071,0.7,2622642400.26606,0.610153,-0.167672,-0.255639
HDB,498,40,0.00030781,0.00022878,-0.206217,0.363297,0.5,125.717463,0.39457,-0.015372,0.015038
HPG,498,40,0.00037636,0.0002598,-0.324411,0.585986,0.55,91.979401,0.471991,-0.182796,-0.013534
MBB,498,40,0.00032615,0.00022316,-0.134419,0.465276,0.575,124.105498,0.438102,-0.22292,-0.11809
MSN,498,40,0.00031306,0.00026309,-0.230063,0.559182,0.55,436.948278,0.355257,0.206633,0.206015
MWG,498,40,0.00033753,0.00029664,0.079673,1.272069,0.525,2165459345.502061,0.354709,0.369092,0.559398
NVL,498,40,0.00065404,0.0005534,-0.351788,0.520415,0.325,238.778912,0.428668,0.098725,0.42406
PDR,498,40,0.00084858,0.00069062,-2.308619,0.643886,0.325,390.868301,0.469578,0.070467,-0.154887
PLX,498,40,0.00226703,0.00160189,-0.99527,9.718893,0.725,82.308359,0.900606,0.034143,0.014302
POW,498,40,0.00093502,0.00058265,-0.630096,1.874503,0.7,51.583172,0.695133,-0.194883,-0.261
SAB,498,40,0.00079472,0.00062084,-11.439867,1.255879,0.4,679.598502,0.639795,-0.226391,-0.156391
SHB,498,40,0.00021841,0.00016916,-0.068375,0.264587,0.575,96.442099,0.284889,0.295467,0.358029
SSB,498,40,0.00028392,0.0002193,-3.127389,0.609962,0.475,290.439279,0.536241,-0.219724,-0.149435
SSI,498,40,0.00037454,0.00026954,0.137676,0.413358,0.55,488.575943,0.302645,0.439436,0.455639
STB,498,40,0.0007703,0.00045941,-0.19693,0.624406,0.6,60.714037,0.541681,0.157739,0.165414
TCB,498,40,0.0002948,0.00021482,-0.160996,0.712115,0.45,389.010703,0.503863,-0.360902,-0.430075
TPB,498,40,0.00083486,0.00058636,-4.252486,0.426498,0.425,215.081763,0.488628,0.294481,0.257143
VCB,500,40,0.0002729,0.00022253,-0.448784,1.449974,0.75,67.367148,0.434737,0.488459,0.421053
VHM,498,40,0.00086458,0.00069877,-0.504529,0.282789,0.525,157.151514,0.283425,0.340219,0.228571
VIB,498,40,0.00010503,8.584e-05,-0.462871,0.304105,0.575,88.463681,0.346771,-0.22217,-0.159458
VIC,498,40,0.00091755,0.00076531,-0.468914,0.28332,0.625,97.542129,0.311256,-0.439,-0.404511
VJC,498,40,0.00080007,0.00064161,-0.735932,0.485764,0.4,194.026338,0.443817,-0.273857,-0.150376
VNM,498,40,0.0004438,0.00032817,-0.871584,2.094991,0.675,120.56965,0.554307,-0.271384,-0.333835
