threshold,regime,n,price_r2,news_r2,delta_r2
0.6,high,2332,0.172596,0.173825,0.00123
0.6,low,18556,0.133753,0.134469,0.000716
0.6,all,20888,0.174816,0.175623,0.000807
0.7,high,1238,0.154212,0.15659,0.002378
0.7,low,19650,0.148566,0.149157,0.000591
0.7,all,20888,0.174816,0.175623,0.000807
0.8,high,466,0.04065,0.042476,0.001827
0.8,low,20422,0.162411,0.163175,0.000764
0.8,all,20888,0.174816,0.175623,0.000807
0.9,high,176,-0.095705,-0.089206,0.0065
0.9,low,20712,0.171492,0.172224,0.000733
0.9,all,20888,0.174816,0.175623,0.000807
