fold,split_date,n_train,n_test_high,price_r2,news_r2,delta_r2
0,2011-09-27,22000,5788,0.056075,-0.150345,-0.20642
1,2016-08-23,63014,4216,0.079761,0.052444,-0.027317
2,2021-07-12,127768,1470,0.076149,0.077128,0.000979
