ticker,n_train,n_test,rmse,mae,r2,qlike,dir_acc,mape,theils_u,pearson_r,spearman_r
ACB,498,40,0.00011949,9.392e-05,-0.026673,0.301863,0.475,110.010903,0.343733,0.149346,-0.131678
BCM,498,40,0.0008647,0.00066804,-0.986039,0.87259,0.65,59.242656,0.382145,-0.121867,-0.039098
BID,498,40,0.00099476,0.00071259,-0.808021,0.547752,0.625,48.259369,0.440117,-0.114234,-0.076692
BVH,498,40,0.00084537,0.00063111,-0.706961,0.350472,0.725,42.004655,0.406018,0.312159,0.284211
CTG,498,40,0.00047598,0.0003761,-0.360416,0.495391,0.6,87.650598,0.410019,0.010601,-0.082707
FPT,502,42,0.00037564,0.00027394,-1.107663,0.519103,0.6429,110.363832,0.406019,-0.103457,0.050032
GAS,498,40,0.00135008,0.00110178,-1.97516,0.93893,0.775,57.501129,0.547233,-0.051532,-0.024821
GVR,498,40,0.001286,0.00103439,-1.566763,0.809582,0.75,54.514727,0.499041,0.230348,0.408424
HDB,498,40,0.00077766,0.00044047,-0.19196,0.486537,0.6,112.83594,0.479613,-0.037244,0.129323
HPG,498,40,0.0003233,0.00024469,-2.671733,0.368714,0.475,151.102141,0.420379,0.212482,0.372932
MBB,498,40,0.00022571,0.00016808,0.542689,0.176028,0.475,83.342075,0.274281,0.832407,0.079699
MSN,498,40,0.00060531,0.00045484,-1.293851,0.730564,0.55,342.213381,0.511478,-0.265056,-0.345865
MWG,498,40,0.00024818,0.00017754,-0.499086,0.243139,0.525,72.049081,0.329775,0.113748,0.218045
NVL,498,40,0.00067311,0.00052423,-0.011501,0.457325,0.475,139.397232,0.356325,0.187178,0.136945
PDR,498,40,0.0008288,0.00055799,-0.276037,0.518551,0.5,111.571583,0.438195,-0.104102,-0.043609
PLX,498,40,0.00226507,0.0018686,-2.120044,5.827078,0.85,78.751872,0.825874,0.058207,0.076749
POW,498,40,0.00038227,0.00029872,0.221157,0.188139,0.65,47.611278,0.225878,0.511172,0.236931
SAB,498,40,0.00054673,0.00034807,-0.129701,1.236626,0.55,61.918266,0.412617,0.253041,0.541353
SHB,498,40,0.00023206,0.00018908,-0.256865,0.374131,0.4,170.091586,0.362648,-0.011266,-0.175254
SSB,498,40,0.00015477,0.00010681,-5.847641,0.308776,0.45,120.08336,0.453142,-0.218014,-0.359187
SSI,498,40,0.00048122,0.00035784,-1.16086,0.404887,0.525,174.707833,0.396645,-0.156265,-0.121805
STB,498,40,0.00076042,0.00057815,-0.697483,0.813759,0.6,88.121112,0.493776,-0.325601,-0.487218
TCB,498,40,0.0002416,0.00019707,-0.56783,0.214613,0.525,94.820481,0.312539,-0.053686,-0.181955
TPB,498,40,0.00030136,0.00024528,-1.042191,0.358843,0.475,145.638545,0.391209,-0.076363,-0.069173
VCB,500,40,0.00082165,0.00058394,-1.443219,1.117094,0.525,71.84191,0.4895,-0.122654,-0.097744
VHM,498,40,0.00081552,0.0006036,-0.452009,0.134386,0.55,54.348243,0.260184,0.472357,0.705263
VIB,498,40,0.00021517,0.00013449,-0.288776,0.589581,0.5,122.598312,0.504573,-0.171965,0.004511
VIC,498,40,0.00094249,0.00074623,-0.181066,0.322094,0.575,127.119108,0.342483,-0.010083,-0.006015
VJC,498,40,0.00069476,0.00057932,-0.113084,0.453552,0.575,123.520871,0.351472,0.118594,-0.033083
VNM,498,40,0.00045392,0.0003054,-0.455927,0.649784,0.65,62.45045,0.449984,0.160521,0.342857
