ticker,price_r2,news_r2,delta_r2,news_helps
ACB,0.117087,0.102961,-0.014126,False
BCM,-0.017337,-0.088899,-0.071562,False
BID,0.260386,0.252742,-0.007644,False
BVH,0.251451,0.229169,-0.022282,False
CTG,0.056732,-0.037266,-0.093998,False
FPT,0.113605,0.09342,-0.020186,False
GAS,0.437729,0.42333,-0.014399,False
GVR,0.236647,0.219645,-0.017003,False
HDB,0.098123,-0.061816,-0.159939,False
HPG,0.039436,0.031657,-0.007779,False
MBB,0.077895,0.060861,-0.017034,False
MSN,0.066835,0.033208,-0.033627,False
MWG,-0.152557,-0.167743,-0.015186,False
NVL,0.095213,0.09051,-0.004703,False
PDR,0.091225,0.091999,0.000774,True
PLX,0.351704,0.353322,0.001618,True
POW,0.117092,0.086194,-0.030898,False
SAB,0.194872,0.180626,-0.014246,False
SHB,0.132235,-1.079127,-1.211362,False
SSB,0.330212,0.330003,-0.00021,False
SSI,0.107825,0.085461,-0.022364,False
STB,0.065451,0.050904,-0.014547,False
TCB,0.033813,0.031857,-0.001957,False
TPB,0.286395,0.264737,-0.021659,False
VCB,0.146036,0.152449,0.006413,True
VHM,0.142551,0.118405,-0.024146,False
VIB,0.084794,-0.211908,-0.296702,False
VIC,0.14429,0.116549,-0.027741,False
VJC,0.210053,0.203208,-0.006845,False
VNM,0.171822,0.163517,-0.008305,False
