feature,baseline_r2,permuted_r2,drop,drop_std
ewma_kq_emb_17,0.1031903041660891,0.09036079452687631,0.09036079452687631,0.003886061997557276
ewma_kq_emb_20,0.1031903041660891,0.06438524551788323,0.06438524551788323,0.0015462569955828039
har_monthly,0.1031903041660891,0.0623463194604573,0.0623463194604573,0.0022492168772878848
ewma_kq_emb_16,0.1031903041660891,0.05737434432555073,0.05737434432555073,0.0021468892233785174
ewma_kq_emb_8,0.1031903041660891,0.041701628595553306,0.041701628595553306,0.0027974327562978974
ewma_th_emb_6,0.1031903041660891,0.03949521572075345,0.03949521572075345,0.00036847026622713254
ewma_kq_emb_norm,0.1031903041660891,0.03734260849192621,0.03734260849192621,0.0007869267942911193
ewma_th_emb_0,0.1031903041660891,0.03704332149417944,0.03704332149417944,0.0016775481237976469
ewma_th_emb_5,0.1031903041660891,0.030635428624355043,0.030635428624355043,0.0007798782122876111
ewma_kq_emb_28,0.1031903041660891,0.030614669003850237,0.030614669003850237,0.0012660042616382625
ewma_th_emb_17,0.1031903041660891,0.0278493109637296,0.0278493109637296,0.0008641814642929735
ewma_th_emb_4,0.1031903041660891,0.02759101644001156,0.02759101644001156,0.0016721516573077104
har_weekly,0.1031903041660891,0.01843888814095653,0.01843888814095653,0.0007683005273163517
ewma_kq_emb_22,0.1031903041660891,0.016617885458614378,0.016617885458614378,0.0007909272520897461
ewma_th_emb_12,0.1031903041660891,0.01582230428787119,0.01582230428787119,0.0010931861820566524
ewma_kq_emb_23,0.1031903041660891,0.015746085145366084,0.015746085145366084,0.001183547791632094
ewma_th_emb_18,0.1031903041660891,0.015121605661627102,0.015121605661627102,0.0004579778113654317
ewma_th_emb_16,0.1031903041660891,0.014501946539709909,0.014501946539709909,0.0007875861724319304
ewma_kq_emb_6,0.1031903041660891,0.01400909606544667,0.01400909606544667,0.0008515932263858283
ewma_th_emb_21,0.1031903041660891,0.013313936875645149,0.013313936875645149,0.0008276134224554749
ewma_th_emb_26,0.1031903041660891,0.012440136746853092,0.012440136746853092,0.0006596384544321832
atr_14,0.1031903041660891,0.012280719991970357,0.012280719991970357,0.0005409467577118426
ewma_kq_emb_19,0.1031903041660891,0.011879197524647144,0.011879197524647144,0.0005163492842096897
ewma_kq_emb_25,0.1031903041660891,0.010685425284161987,0.010685425284161987,0.000881523911693531
ewma_kq_emb_11,0.1031903041660891,0.010153943758830653,0.010153943758830653,0.0009763783317431592
ewma_th_emb_20,0.1031903041660891,0.009227499898422354,0.009227499898422354,0.0008096641948622043
