fold,split_date,n_train,n_test_high,price_r2,news_r2,delta_r2
0,2011-09-23,21948,5796,-0.019815,-2.028813,-2.008998
1,2016-08-17,62870,4216,-0.005593,-0.218557,-0.212965
2,2021-07-02,127408,1470,-0.03849,-0.041233,-0.002742
