fold,split_date,n_train,n_test_high,price_r2,news_r2,delta_r2
0,2011-09-20,21870,5804,0.01953,-0.396641,-0.416171
1,2016-08-09,62654,4216,-0.007978,-0.039223,-0.031244
2,2021-06-21,126868,1474,-0.045889,-0.048288,-0.002399
