ticker,price_r2,news_r2,delta_r2,news_helps
ACB,-0.069618,-0.114219,-0.044601,False
BCM,-0.075441,-0.102063,-0.026622,False
BID,0.081187,0.062428,-0.018759,False
BVH,0.19168,0.146996,-0.044684,False
CTG,-0.132987,-0.153195,-0.020208,False
FPT,0.034896,-0.075718,-0.110614,False
GAS,0.318728,0.28969,-0.029038,False
GVR,0.127761,0.129582,0.001821,True
HDB,-0.046172,-0.240204,-0.194032,False
HPG,0.013423,-0.052502,-0.065924,False
MBB,-0.035534,-0.09295,-0.057417,False
MSN,0.016242,-0.032443,-0.048685,False
MWG,-0.089337,-0.138755,-0.049418,False
NVL,0.017475,0.009543,-0.007932,False
PDR,0.075665,0.073457,-0.002208,False
PLX,0.212383,0.220874,0.008491,True
POW,-0.022732,-0.100432,-0.0777,False
SAB,0.052992,0.008192,-0.0448,False
SHB,0.078587,-0.685308,-0.763895,False
SSB,-0.027184,-0.058271,-0.031088,False
SSI,0.083709,0.090773,0.007063,True
STB,-0.01055,-0.058334,-0.047784,False
TCB,-0.065561,-0.096098,-0.030536,False
TPB,0.109157,0.079425,-0.029732,False
VCB,-0.003704,-0.028928,-0.025224,False
VHM,0.036862,0.027216,-0.009647,False
VIB,-0.074733,-0.547345,-0.472612,False
VIC,0.031146,0.037205,0.006059,True
VJC,0.048574,0.014823,-0.033751,False
VNM,0.006568,-0.003593,-0.010161,False
