threshold,regime,n,price_r2,news_r2,delta_r2
0.6,high,2276,0.13672,0.137867,0.001147
0.6,low,17592,0.028483,0.029373,0.00089
0.6,all,19868,0.055,0.055928,0.000928
0.7,high,1222,0.120936,0.123211,0.002275
0.7,low,18646,0.038014,0.038783,0.000768
0.7,all,19868,0.055,0.055928,0.000928
0.8,high,466,0.05586,0.057031,0.001171
0.8,low,19402,0.045092,0.046014,0.000921
0.8,all,19868,0.055,0.055928,0.000928
0.9,high,176,0.024569,0.026467,0.001898
0.9,low,19692,0.050786,0.051687,0.000901
0.9,all,19868,0.055,0.055928,0.000928
